"","latitude","longitude","depth","mb","name","source","Country","datetime","max_yield","medium","confirmation","salvo"
"55",24.0536,5.0523,0,4.52,"opale","BOLT","France","2/14/1964 11:00:00 AM",20,"Underground","unknown",0
"56",24.0666,5.0345,0,NA,"topaze","BOLT","France","6/15/1964 1:40:00 PM",20,"Underground","unknown",0
"57",24.0418,5.0416,0,NA,"turquoise","BOLT","France","11/28/1964 10:30:00 AM",20,"Underground","unknown",0
"58",24.0587,5.0311,0,5.8,"saphir","BOLT","France","2/27/1965 11:30:00 AM",20,"Underground","unknown",0
"59",24.055,5.0508,0,NA,"jade","BOLT","France","5/30/1965 11:00:00 AM",20,"Underground","unknown",0
"60",24.0649,5.034,0,NA,"corindon","BOLT","France","10/1/1965 10:00:00 AM",20,"Underground","unknown",0
"61",24.0437,5.0469,0,5.1,"tourmaline","BOLT","France","12/1/1965 10:30:00 AM",20,"Underground","unknown",0
"62",24.0441,5.0412,0,4.94,"grenat","BOLT","France","2/16/1966 11:00:00 AM",20,"Underground","unknown",0
"63",-22,-139,0,NA,"Aldebaron","CEA/DAM","France","7/2/1966 3:34:00 PM",200,"Air","confirmed",0
"64",-22,-139,0,NA,"Tamore","CEA/DAM","France","7/19/1966 3:05:00 PM",200,"Air","confirmed",0
"65",-22,-139,0,NA,"Betelguese","CEA/DAM","France","9/11/1966 5:30:00 PM",200,"Air","confirmed",0
"66",-22,-139,0,NA,"Rigel","CEA/DAM","France","9/24/1966 5:00:00 PM",200,"Air","confirmed",0
"67",-22,-139,0,NA,"Sirus","CEA/DAM","France","10/4/1966 9:00:00 PM",1000,"Air","confirmed",0
"68",-22,-139,0,NA,"Altair","CEA/DAM","France","6/5/1967 7:00:00 PM",20,"Air","confirmed",0
"69",-22,-139,0,NA,"Antares","CEA/DAM","France","6/27/1967 6:30:00 PM",200,"Air","confirmed",0
"70",-22,-139,0,NA,"Arcturus","CEA/DAM","France","7/2/1967 5:30:00 PM",200,"Air","confirmed",0
"71",-22,-139,0,NA,"Capella","CEA/DAM","France","7/7/1968 10:00:00 PM",200,"Air","confirmed",0
"72",-22,-139,0,NA,"Castor","CEA/DAM","France","7/15/1968 7:00:00 PM",1000,"Air","confirmed",0
"73",-22,-139,0,NA,"Pollux","CEA/DAM","France","8/3/1968 9:00:00 PM",200,"Air","confirmed",0
"74",-22.228,-138.644,0,4.95,"Canopus","AWE-JED","France","8/24/1968 6:30:00 PM",1000,"Air","confirmed",0
"75",-21.821,-138.975,0,4.91,"Procyon","AWE-JED","France","9/8/1968 7:00:01 PM",1000,"Air","confirmed",0
"76",-22,-139,0,NA,"Andromede","CEA/DAM","France","5/15/1970 6:00:00 PM",20,"Air","confirmed",0
"77",-22,-139,0,NA,"Cassiopee","CEA/DAM","France","5/22/1970 6:30:00 PM",1000,"Air","confirmed",0
"78",-22.309,-138.606,0,4.44,"Dragon","AWE-JED","France","5/30/1970 6:00:00 PM",1000,"Air","confirmed",0
"79",-22,-139,0,NA,"Eridan","CEA/DAM","France","6/24/1970 6:30:00 PM",20,"Air","confirmed",0
